,year,count
0,2006,7281
1,2005,7183
2,2004,6763
3,2002,6638
4,2003,6546
5,2000,6474
6,2008,6326
7,2007,6325
8,2001,6255
9,1999,5543
10,1997,5388
11,1998,5280
12,1996,5206
13,2009,5009
14,1995,4826
15,2010,4574
16,1994,4392
17,1993,3820
18,1992,3590
19,2011,3507
20,1991,3176
21,2012,2984
22,1990,2937
23,1989,2745
24,1988,2448
25,1987,2437
26,2013,2434
27,1986,2026
28,2014,1956
29,1985,1888
30,1984,1692
31,1983,1549
32,1981,1372
33,1982,1361
34,2015,1289
35,1980,1234
36,1979,1218
37,1978,1017
38,1977,914
39,2016,876
40,1976,832
41,1975,727
42,1973,607
43,1974,556
44,1972,518
45,1971,426
46,1970,412
47,1969,359
48,1967,319
49,1968,316
50,2017,268
51,1964,246
52,1966,239
53,1965,233
54,1963,224
55,1962,173
56,1960,169
57,1961,167
58,1957,150
59,1959,132
60,1958,127
61,1956,118
62,1955,96
63,1954,78
64,1953,72
65,1950,70
66,1952,58
67,1949,55
68,1951,53
69,1948,43
70,1939,40
71,1946,37
72,1937,36
73,1938,36
74,1932,35
75,1929,33
76,1941,33
77,1947,32
78,1933,32
79,1934,30
80,1928,29
81,1935,25
82,1940,24
83,1945,23
84,1926,22
85,1931,22
86,1930,21
87,1927,21
88,1936,20
89,1943,20
90,1942,20
91,1944,20
92,1925,17
93,1922,15
94,1923,10
95,1909,10
96,1921,9
97,1908,8
98,1924,8
99,1913,7
100,1919,7
101,1912,6
102,1917,6
103,1907,5
104,1914,5
105,1918,5
106,1911,4
107,1915,4
108,1905,4
109,1906,3
110,1902,3
111,1898,3
112,1890,3
113,1901,3
114,1920,2
115,1891,2
116,1916,2
117,1910,2
118,1841,2
119,1904,2
120,1903,2
121,1848,2
122,1899,2
123,1897,2
124,1871,2
125,1887,2
126,1860,2
127,1830,1
128,1885,1
129,1889,1
130,1895,1
131,1803,1
132,1892,1
133,1893,1
134,1879,1
135,1900,1
136,1881,1
137,1872,1
138,1877,1
139,1858,1
140,1839,1
141,1840,1
142,1842,1
143,1845,1
144,1821,1
145,1851,1
146,1859,1
147,1831,1
148,1817,1
149,1861,1
150,1864,1
151,1814,1
152,1865,1
153,1870,1
154,1856,1
